Time,Shank,Thigh,Wrist
4004,-1.4140197369747656,-2.9657353542981557,-3.7733052943210423
4005,-1.4651199469747656,-3.3077491902981557,-3.796381171321042
4006,-1.5489097059747656,-3.0783192102981554,-3.802504642321042
4007,-1.6025021989747656,-2.6193219012981555,-3.778694420321042
4008,-1.6510016909747656,-2.5371868312981554,-3.732129523321042
4009,-1.7114662119747657,-2.7787161302981556,-3.666108021321042
4010,-1.7480257329747657,-3.0333711792981557,-3.5969740993210424
4011,-1.7470498149747655,-3.1992356092981553,-3.5481513573210424
4012,-1.7038398889747657,-3.2821224102981557,-3.521594708321042
4013,-1.7142171775483022,-3.2685369924296,-3.512817901703178
4014,-1.7760805555483021,-3.2395289014296,-3.4868694747031777
4015,-1.709677586548302,-3.2244256134295997,-3.471271421703178
4016,-1.621747415548302,-3.2592149414295997,-3.479056892703178
4017,-1.968036400548302,-3.3409261484296,-3.4979995747031776
4018,-2.2237651205483018,-3.3912389364295996,-3.509456770703178
4019,-1.878592024548302,-3.4103157644296,-3.4968833227031775
4020,-1.225894458548302,-3.4197219984296,-3.4507409987031776
4021,-0.8186393855483021,-3.4392721654295997,-3.3710946277031777
4022,-0.7151226225483021,-3.4877905474296,-3.2647171577031777
4023,-0.7158103865483021,-3.5366412274296,-3.1323411637031775
4024,-0.691513119548302,-3.5315814454296,-2.9685044417031774
4025,-0.605882120548302,-3.4515095724296,-2.7641803227031776
4026,-0.282557643548302,-3.2967224634296,-2.518699291703178
4027,0.400210610451698,-3.0550358764295997,-2.235731306703178
4028,1.392299644451698,-2.7363183084296,-1.9421748447031775
4029,2.3285864414516984,-2.4342577044295997,-1.6655259977031776
4030,2.612498384451698,-2.2371617434296,-1.4158929127031774
4031,2.5970526284516984,-2.1081594404296,-1.1853168447031774
4032,2.745660734451698,-1.9623871914295998,-0.9596307137031775
4033,3.049206798451698,-1.7660651154295997,-0.7383701007031775
4034,3.408437593451698,-1.6211487174295998,-0.5333069217031775
4035,3.6642185874516984,-1.6393586174295998,-0.34604306270317753
4036,3.655535128451698,-1.7570657614295997,-0.15538329970317755
4037,3.3385167434516982,-1.7996382354295997,0.05600432229682245
4038,2.9095664164516983,-1.6892364664295998,0.2920779572968224
4039,2.6306571814516984,-1.5178529444295998,0.5681445142968224
4040,2.3264181684516982,-1.3104373024295999,0.9059225702968225
4041,2.008785029451698,-1.0794226334295998,1.2963347712968225
4042,1.7966222144516981,-0.8367103544295997,1.6954270952968222
4043,1.715877281451698,-0.5685795364295998,2.053511026296823
4044,1.7451107284516978,-0.2733871514295998,2.3397876892968226
4045,1.861049157451698,0.027622654570400196,2.5432872912968225
4046,2.056817083451698,0.26141902257040023,2.7018173992968224
4047,2.1717290494516983,0.9383761415704002,2.8730240922968227
4048,2.195859560451698,2.0674054905704002,3.0801683082968223
4049,2.0677621294516983,2.9842533135704,3.2923238682968226
4050,1.776679636451698,3.3961677645704,3.459954903296823
4051,1.410781155451698,3.3388065775704003,3.5517710092968224
4052,0.974468897451698,3.1997629835704005,3.5642136182968223
4053,0.48093264645169803,3.3500411855704004,3.5021626472968226
4054,-0.141327453548302,3.5024793215704,3.370734937296822
4055,-0.833716202548302,3.2239365155704003,3.171148109296823
4056,-1.516726815548302,2.7957136435704,2.9197663872968223
4057,-2.1185691235483017,2.5679746885704002,2.6771520132968227
4058,-2.595774423548302,2.5408230325704,2.5029719882968227
4059,-2.946627624548302,2.5793828295704,2.4202043562968223
4060,-2.911863981548302,2.6160071785704004,2.406600115296823
4061,-2.118541474548302,2.6036560515704004,2.4133070542968227
4062,-2.063696577548302,2.5101032405704005,2.4052958572968226
4063,-3.245972364548302,2.3562679785704,2.3816270822968226
4064,-3.941185180548302,2.1620556215704,2.3480611522968227
4065,-3.625048533548302,1.9566500095704003,2.2944386462968227
4066,-3.308911454548302,1.7529014545704,2.2069278302968227
4067,-3.1665234695483018,1.5217287595704003,2.0743001792968228
4068,-2.7417347225483018,1.2442086915704003,1.9175357992968223
4069,-2.2638343145483018,0.9430859045704003,1.7866385152968223
4070,-1.9022810185483021,0.6572879375704002,1.7090767172968226
4071,-1.6595040435483022,0.4006501805704002,1.6704599552968225
4072,-1.319789862548302,0.19021210857040022,1.6546709492968226
4073,-0.9503955335483021,0.048878615570400186,1.6595502772968225
4074,-0.723654444548302,-0.036459064429599786,1.6711866392968224
4075,-0.734481118548302,-0.1287447134295998,1.6822141902968226
4076,-0.9232500045483021,-0.29351034642959983,1.6930690582968226
4077,-1.107546693548302,-0.5683639124295998,1.6950080582968223
4078,-1.189119362548302,-0.9336208464295999,1.6762144852968224
4079,-1.229319024548302,-1.2930736524295998,1.6266638812968226
4080,-1.260607555548302,-1.5381267814295998,1.5384741192968225
4081,-1.147496219548302,-1.6221891774295998,1.4184210952968224
4082,-0.9297025485483019,-1.6828268174295997,1.2723772092968224
4083,-0.7664759915483019,-1.8757520754295998,1.1339673282968223
4084,-0.674445586548302,-2.1450451964296,0.9960578152968225
4085,-0.6184826405483019,-2.2698731054295997,0.8447898252968224
4086,-0.6032317215483021,-2.1799445524295997,0.6663133522968225
4087,-0.655888042548302,-1.9660254794295997,0.4395127372968225
4088,-0.773402021548302,-1.5414143114295997,0.16240418829682246
4089,-0.908163251548302,-0.7384160284295997,-0.12991225570317755
4090,-1.030945628548302,0.1253306605704002,-0.40297365670317753
4091,-1.123658613548302,0.7066850625704002,-0.6693829297031776
4092,-1.181512048548302,0.9055938895704003,-0.9612538157031776
4093,-1.211361113548302,0.7597226905704002,-1.2948798167031774
4094,-1.233041246548302,0.48912622457040017,-1.6722176127031776
4095,-1.259354718548302,-0.2144560434295998,-2.0777952757031777
4096,-1.293279824548302,-3.0104511574296,-2.4750694177031773
4097,-1.345447970548302,-4.2885114854296,-2.817293029703178
4098,-1.4111830485483021,-1.4132065674295997,-3.0874064427031778
4099,-1.4780029105483021,0.6548865345704002,-3.305921217703178
4100,-1.542547360548302,0.5536155615704001,-3.5057856347031775
4101,-1.573185713548302,-0.2141141464295998,-3.6987091367031777
4102,-1.567396308548302,-1.1878343094295998,-3.882070241703177
